Data,Partita,Casa,Ospite,Risultato_Reale,Predizione,Corretto,Prob_Casa,Prob_X,Prob_Ospite,Prob_Predizione,Confidenza,N_Partite_Dataset
2026-01-23,Inter vs Pisa,Inter,Pisa,H,H,True,0.517,0.343,0.139,0.517,0.517,2653
2026-01-24,Como vs Torino,Como,Torino,H,H,True,0.43,0.381,0.189,0.43,0.43,2654
2026-01-24,Fiorentina vs Cagliari,Fiorentina,Cagliari,A,H,False,0.451,0.394,0.154,0.451,0.451,2654
2026-01-24,Lecce vs Lazio,Lecce,Lazio,D,H,False,0.351,0.349,0.3,0.351,0.351,2654
2026-01-25,Sassuolo vs Cremonese,Sassuolo,Cremonese,H,H,True,0.389,0.382,0.229,0.389,0.389,2657
2026-01-25,Atalanta vs Parma,Atalanta,Parma,H,H,True,0.492,0.349,0.159,0.492,0.492,2657
2026-01-25,Genoa vs Bologna,Genoa,Bologna,H,D,False,0.355,0.393,0.252,0.393,0.393,2657
2026-01-25,Juventus vs Napoli,Juventus,Napoli,H,H,True,0.483,0.308,0.209,0.483,0.483,2657
2026-01-25,Roma vs Milan,Roma,Milan,D,H,False,0.48,0.288,0.232,0.48,0.48,2657
2026-01-26,Verona vs Udinese,Verona,Udinese,A,H,False,0.395,0.352,0.254,0.395,0.395,2662
2026-01-30,Lazio vs Genoa,Lazio,Genoa,H,H,True,0.479,0.374,0.146,0.479,0.479,2663
2026-01-31,Cagliari vs Verona,Cagliari,Verona,H,H,True,0.456,0.391,0.153,0.456,0.456,2664
2026-01-31,Pisa vs Sassuolo,Pisa,Sassuolo,A,D,False,0.341,0.363,0.295,0.363,0.363,2664
2026-01-31,Napoli vs Fiorentina,Napoli,Fiorentina,H,H,True,0.554,0.305,0.141,0.554,0.554,2664
2026-02-01,Parma vs Juventus,Parma,Juventus,A,D,False,0.329,0.343,0.327,0.343,0.343,2667
2026-02-01,Torino vs Lecce,Torino,Lecce,H,H,True,0.442,0.343,0.215,0.442,0.442,2667
2026-02-01,Cremonese vs Inter,Cremonese,Inter,A,A,True,0.219,0.332,0.449,0.449,0.449,2667
2026-02-01,Como vs Atalanta,Como,Atalanta,D,D,True,0.368,0.372,0.26,0.372,0.372,2667
2026-02-02,Udinese vs Roma,Udinese,Roma,H,H,True,0.354,0.324,0.321,0.354,0.354,2671
2026-02-03,Bologna vs Milan,Bologna,Milan,A,H,False,0.353,0.347,0.3,0.353,0.353,2672
2026-02-06,Verona vs Pisa,Verona,Pisa,D,D,True,0.358,0.466,0.175,0.466,0.466,2673
2026-02-07,Fiorentina vs Torino,Fiorentina,Torino,D,H,False,0.43,0.374,0.196,0.43,0.43,2674
2026-02-07,Genoa vs Napoli,Genoa,Napoli,A,H,False,0.339,0.326,0.335,0.339,0.339,2674
2026-02-08,Bologna vs Parma,Bologna,Parma,A,H,False,0.423,0.373,0.204,0.423,0.423,2676
