data,casa,trasferta,risultato_reale,predizione,prob_h,prob_d,prob_a,confidenza,corretto
2025-01-14,Atalanta,Juventus,D,H,0.468,0.346,0.186,0.468,False
2025-01-14,Como,Milan,A,H,0.368,0.362,0.27,0.368,False
2025-01-15,Inter,Bologna,D,H,0.529,0.322,0.149,0.529,False
2025-01-17,Roma,Genoa,H,H,0.568,0.294,0.138,0.568,True
2025-01-18,Juventus,Milan,H,H,0.44,0.343,0.217,0.44,True
2025-01-18,Bologna,Monza,H,D,0.389,0.405,0.207,0.405,False
2025-01-18,Atalanta,Napoli,A,H,0.415,0.312,0.273,0.415,False
2025-01-19,Cagliari,Lecce,H,D,0.363,0.422,0.214,0.422,False
2025-01-19,Fiorentina,Torino,D,H,0.424,0.385,0.191,0.424,False
2025-01-19,Inter,Empoli,H,H,0.566,0.29,0.144,0.566,True
2025-01-19,Parma,Venezia,D,H,0.415,0.369,0.216,0.415,False
2025-01-19,Verona,Lazio,A,H,0.381,0.348,0.271,0.381,False
2025-01-20,Como,Udinese,H,H,0.466,0.355,0.18,0.466,True
2025-01-24,Torino,Cagliari,H,H,0.435,0.381,0.183,0.435,True
2025-01-25,Empoli,Bologna,D,D,0.368,0.373,0.259,0.373,True
2025-01-25,Napoli,Juventus,H,H,0.488,0.339,0.173,0.488,True
2025-01-25,Como,Atalanta,A,H,0.379,0.364,0.257,0.379,False
2025-01-26,Lazio,Fiorentina,A,H,0.587,0.273,0.14,0.587,False
2025-01-26,Udinese,Roma,A,D,0.274,0.382,0.344,0.382,False
2025-01-26,Lecce,Inter,A,A,0.226,0.288,0.486,0.486,True
2025-01-26,Milan,Parma,H,H,0.562,0.294,0.145,0.562,True
2025-01-27,Genoa,Monza,H,D,0.349,0.389,0.262,0.389,False
2025-01-27,Venezia,Verona,D,D,0.341,0.439,0.22,0.439,True
2025-01-31,Parma,Lecce,A,H,0.393,0.37,0.237,0.393,False
2025-02-01,Udinese,Venezia,H,D,0.341,0.442,0.217,0.442,False
2025-02-01,Atalanta,Torino,D,H,0.521,0.328,0.151,0.521,False
2025-02-01,Bologna,Como,H,D,0.371,0.401,0.228,0.401,False
2025-02-01,Monza,Verona,A,H,0.447,0.385,0.168,0.447,False
